,index,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,3,ligand-14,-10.892491394330037,0.8248410860848154,0.0850846832454441,5,-10.852485527854938,0.7794590209801598,0.08355349981434619,5
1,2,ligand-39,-9.467813802024494,0.5016644048283044,0.07207154488037867,5,-9.170580235023337,0.4103582698410374,0.07470829195556115,5
2,6,ligand-40,-9.463579427990648,0.601631722560966,0.07352069943379819,5,-9.211247182320843,0.562307034215454,0.07538984502837448,5
3,5,ligand-27,-9.291465776397722,0.6954425657724962,0.06863100433389245,5,-9.023036949157234,0.6769857130924016,0.07204332034129227,5
4,8,ligand-2,-8.718241148778933,0.21853863649802416,0.07690887878785808,5,-8.647585186713945,0.18790266191444646,0.07795697073684997,5
5,7,ligand-16,-8.353768834428303,0.7629958624279034,0.08462620890716765,5,-8.094102610546496,0.6656184844391659,0.08438728308603073,5
6,1,ligand-8,-6.623291730369739,0.2338378571522702,0.05644506471660651,5,-6.399414457455377,0.21522934548143546,0.060279703963886225,5
7,9,ligand-3,-4.363573423477304,0.06273183709914303,0.043824444037971054,5,-4.253895431975863,0.10962347082707398,0.047109575561106655,5
8,4,ligand-7,-4.295356528426959,0.5383701069720551,0.04555165592785244,5,-4.120981740446474,0.5382265926845936,0.0492976534241506,5
9,0,ligand-4,-3.4943611504754357,1.7187950233293403,0.05207599040967191,5,-2.8434633703439327,1.6969806029003178,0.0601571594572438,5
